,property_id,property_name,category,city
0,16558,atliq grands,luxury,delhi
1,16559,atliq exotica,luxury,mumbai
2,16560,atliq city,business,delhi
3,16561,atliq blu,luxury,delhi
4,16562,atliq bay,luxury,delhi
5,16563,atliq palace,business,delhi
6,17558,atliq grands,luxury,mumbai
7,17559,atliq exotica,luxury,mumbai
8,17560,atliq city,business,mumbai
9,17561,atliq blu,luxury,mumbai
10,17562,atliq bay,luxury,mumbai
11,17563,atliq palace,business,mumbai
12,17564,atliq seasons,business,mumbai
13,18558,atliq grands,luxury,hyderabad
14,18559,atliq exotica,luxury,hyderabad
15,18560,atliq city,business,hyderabad
16,18561,atliq blu,luxury,hyderabad
17,18562,atliq bay,luxury,hyderabad
18,18563,atliq palace,business,hyderabad
19,19558,atliq grands,luxury,bangalore
20,19559,atliq exotica,luxury,bangalore
21,19560,atliq city,business,bangalore
22,19561,atliq blu,luxury,bangalore
23,19562,atliq bay,luxury,bangalore
24,19563,atliq palace,business,bangalore
