,property_id,check_in_date,room_category,successful_bookings,capacity
0,16558,2022-05-01,rt1,18,19
1,16558,2022-05-01,rt2,21,22
2,16558,2022-05-01,rt3,8,8
3,16558,2022-05-01,rt4,3,3
4,16559,2022-05-01,rt1,25,30
5,16559,2022-05-01,rt2,35,41
6,16559,2022-05-01,rt3,27,32
7,16559,2022-05-01,rt4,17,18
8,16560,2022-05-01,rt1,24,34
9,16560,2022-05-01,rt2,25,34
10,16560,2022-05-01,rt3,15,20
11,16560,2022-05-01,rt4,6,7
12,16561,2022-05-01,rt1,16,18
13,16561,2022-05-01,rt2,24,24
14,16561,2022-05-01,rt3,21,21
15,16561,2022-05-01,rt4,9,10
16,16562,2022-05-01,rt1,20,31
17,16562,2022-05-01,rt2,30,43
18,16562,2022-05-01,rt3,14,18
19,16562,2022-05-01,rt4,4,6
20,16563,2022-05-01,rt1,36,41
21,16563,2022-05-01,rt2,37,38
22,16563,2022-05-01,rt3,17,20
23,16563,2022-05-01,rt4,17,18
24,17558,2022-05-01,rt1,13,19
25,17558,2022-05-01,rt2,38,50
26,17558,2022-05-01,rt3,21,27
27,17558,2022-05-01,rt4,4,6
28,17559,2022-05-01,rt1,26,32
29,17559,2022-05-01,rt2,34,39
30,17559,2022-05-01,rt3,14,16
31,17559,2022-05-01,rt4,13,14
32,17560,2022-05-01,rt1,28,40
33,17560,2022-05-01,rt2,31,45
34,17560,2022-05-01,rt3,19,25
35,17560,2022-05-01,rt4,10,13
36,17561,2022-05-01,rt1,22,26
37,17561,2022-05-01,rt2,32,36
38,17561,2022-05-01,rt3,16,19
39,17561,2022-05-01,rt4,3,4
40,17562,2022-05-01,rt1,12,20
41,17562,2022-05-01,rt2,19,30
42,17562,2022-05-01,rt3,15,27
43,17562,2022-05-01,rt4,4,6
44,17563,2022-05-01,rt1,21,25
45,17563,2022-05-01,rt2,40,44
46,17563,2022-05-01,rt3,14,16
47,17563,2022-05-01,rt4,17,19
48,17564,2022-05-01,rt1,9,16
49,17564,2022-05-01,rt2,25,40
50,17564,2022-05-01,rt3,16,24
51,17564,2022-05-01,rt4,9,17
52,18558,2022-05-01,rt1,11,15
53,18558,2022-05-01,rt2,21,30
54,18558,2022-05-01,rt3,18,26
55,18558,2022-05-01,rt4,14,20
56,18559,2022-05-01,rt1,29,42
57,18559,2022-05-01,rt2,29,44
58,18559,2022-05-01,rt3,14,23
59,18559,2022-05-01,rt4,11,19
60,18560,2022-05-01,rt2,34,40
61,18560,2022-05-01,rt1,27,30
62,18560,2022-05-01,rt3,21,24
63,18560,2022-05-01,rt4,14,15
64,18561,2022-05-01,rt1,31,33
65,18561,2022-05-01,rt2,35,40
66,18561,2022-05-01,rt3,23,25
67,18561,2022-05-01,rt4,8,9
68,18562,2022-05-01,rt1,34,38
69,18562,2022-05-01,rt2,33,34
70,18562,2022-05-01,rt3,28,29
71,18562,2022-05-01,rt4,19,20
72,18563,2022-05-01,rt1,18,27
73,18563,2022-05-01,rt2,21,29
74,18563,2022-05-01,rt3,16,23
75,18563,2022-05-01,rt4,13,18
76,19558,2022-05-01,rt1,25,40
